Parser Name,Status,Category,Python File,Notes
"abuse_ch","VERIFIED","Verified","urlhaus.py",""
"abuse_oneprovider","VERIFIED","Verified","abuse_oneprovider.py",""
"abusehub_nl","VERIFIED","Verified","abusehub_nl.py",""
"abusetrue_nl","VERIFIED","Verified","abusetrue_nl.py",""
"abusix","VERIFIED","Verified","abusix.py",""
"acastano","VERIFIED","Verified","acastano.py",""
"accenture","VERIFIED","Verified","accenture.py",""
"acedatacenter","VERIFIED","Verified","acedatacenter.py",""
"acns","VERIFIED","Verified","acns.py",""
"adciberespaco","VERIFIED","Verified","adciberespaco.py",""
"adobe","FABRICATED","NO PYTHON SOURCE","","No Python source found - likely fabricated"
"agouros","VERIFIED","Verified","agouros.py",""
"aiplex","RENAMED","Missing Comment","aiplex.py","No translation comment, but Python file exists"
"akamai","RENAMED","Missing Comment","akamai.py","No translation comment, but Python file exists"
"amasha","RENAMED","Missing Comment","amasha.py","No translation comment, but Python file exists"
"amazon","RENAMED","Missing Comment","amazon.py","No translation comment, but Python file exists"
"antipiracy","RENAMED","Missing Comment","antipiracy.py","No translation comment, but Python file exists"
"antipiracy_report","RENAMED","Missing Comment","antipiracy_report.py","No translation comment, but Python file exists"
"antipiracyprotection","RENAMED","Missing Comment","antipiracyprotection.py","No translation comment, but Python file exists"
"anvisa_gov","RENAMED","Missing Comment","anvisa_gov.py","No translation comment, but Python file exists"
"aol","RENAMED","Missing Comment","aol.py","No translation comment, but Python file exists"
"ap_markmonitor","RENAMED","Missing Comment","ap_markmonitor.py","No translation comment, but Python file exists"
"aparlay","RENAMED","Missing Comment","aparlay.py","No translation comment, but Python file exists"
"apiccopyright","RENAMED","Missing Comment","apiccopyright.py","No translation comment, but Python file exists"
"apple","SUSPICIOUS","Pattern-based","","Pattern-based implementation"
"arkadruk","RENAMED","Missing Comment","arkadruk.py","No translation comment, but Python file exists"
"artplanet","RENAMED","Missing Comment","artplanet.py","No translation comment, but Python file exists"
"aruba","RENAMED","Missing Comment","aruba.py","No translation comment, but Python file exists"
"att","RENAMED","Missing Comment","att.py","No translation comment, but Python file exists"
"attributor","SUSPICIOUS","Pattern-based","","Pattern-based implementation"
"autofusion","RENAMED","Missing Comment","autofusion.py","No translation comment, but Python file exists"
"avoxi","SUSPICIOUS","Pattern-based","","Pattern-based implementation"
"aws","FABRICATED","NO PYTHON SOURCE","","No Python source found - likely fabricated"
"axghouse","SUSPICIOUS","Pattern-based","","Pattern-based implementation"
"axur","RENAMED","Missing Comment","axur.py","No translation comment, but Python file exists"
"azure","FABRICATED","NO PYTHON SOURCE","","No Python source found - likely fabricated"
"b_monitor","SUSPICIOUS","Pattern-based","","Pattern-based implementation"
"baidu","FABRICATED","NO PYTHON SOURCE","","No Python source found - likely fabricated"
"barrettlawgroup","RENAMED","Missing Comment","barrettlawgroup.py","No translation comment, but Python file exists"
"base","ERROR","","","Cannot read Go file"
"baysidecorp","VERIFIED","Verified","baysidecorp.py",""
"bb","VERIFIED","Verified","bb.py",""
"bbc","RENAMED","Missing Comment","bbc.py","No translation comment, but Python file exists"
"bell","RENAMED","Similar Python Found","bellsouth.py","Similar Python file exists"
"bellsouth","VERIFIED","Verified","bellsouth.py",""
"beygoo","VERIFIED","Verified","beygoo.py",""
"bibo","RENAMED","Missing Comment","bibo.py","No translation comment, but Python file exists"
"bitninja","RENAMED","Missing Comment","bitninja.py","No translation comment, but Python file exists"
"bka","RENAMED","Missing Comment","bka.py","No translation comment, but Python file exists"
